EXIF ExposureTime,EXIF FNumber,EXIF ExposureProgram,EXIF ISOSpeedRatings,EXIF ExifVersion,EXIF DateTimeOriginal,EXIF DateTimeDigitized,EXIF ComponentsConfiguration,EXIF ShutterSpeedValue,EXIF ApertureValue
1/24,2,Program Normal,400,0220,2018:11:17 12:19:20,2018:11:17 12:19:20,YCbCr,229/50,2
1/30,2,Program Normal,125,0220,2018:11:17 12:19:25,2018:11:17 12:19:25,YCbCr,49/10,2
1/60,2,Program Normal,64,0220,2018:11:17 12:19:31,2018:11:17 12:19:31,YCbCr,59/10,2
1/30,2,Program Normal,160,0220,2018:11:17 12:20:15,2018:11:17 12:20:15,YCbCr,49/10,2
1/30,2,Program Normal,200,0220,2018:11:17 12:20:29,2018:11:17 12:20:29,YCbCr,49/10,2
1/30,2,Program Normal,200,0220,2018:11:17 12:20:37,2018:11:17 12:20:37,YCbCr,49/10,2
1/30,2,Program Normal,80,0220,2018:11:17 12:20:41,2018:11:17 12:20:41,YCbCr,49/10,2
1/30,2,Program Normal,100,0220,2018:11:17 12:20:51,2018:11:17 12:20:51,YCbCr,49/10,2
1/30,2,Program Normal,200,0220,2018:11:17 12:20:58,2018:11:17 12:20:58,YCbCr,49/10,2
1/30,2,Program Normal,200,0220,2018:11:17 12:21:03,2018:11:17 12:21:03,YCbCr,49/10,2
1/30,2,Program Normal,320,0220,2018:11:17 12:21:07,2018:11:17 12:21:07,YCbCr,49/10,2
1/30,2,Program Normal,320,0220,2018:11:17 12:21:13,2018:11:17 12:21:13,YCbCr,49/10,2
1/24,2,Program Normal,400,0220,2018:11:17 12:21:19,2018:11:17 12:21:19,YCbCr,229/50,2
1/15,2,Program Normal,500,0220,2018:11:17 12:21:39,2018:11:17 12:21:39,YCbCr,39/10,2
1/30,2,Program Normal,125,0220,2018:11:17 12:21:45,2018:11:17 12:21:45,YCbCr,49/10,2
1/40,2,Program Normal,64,0220,2018:11:17 12:21:50,2018:11:17 12:21:50,YCbCr,133/25,2
1/30,2,Program Normal,100,0220,2018:11:17 12:21:52,2018:11:17 12:21:52,YCbCr,49/10,2
1/30,2,Program Normal,80,0220,2018:11:17 12:21:59,2018:11:17 12:21:59,YCbCr,49/10,2
1/30,2,Program Normal,250,0220,2018:11:17 12:22:08,2018:11:17 12:22:08,YCbCr,49/10,2
1/30,2,Program Normal,320,0220,2018:11:17 12:22:12,2018:11:17 12:22:12,YCbCr,49/10,2
1/15,2,Program Normal,500,0220,2018:11:17 12:22:14,2018:11:17 12:22:14,YCbCr,39/10,2
1/20,2,Program Normal,500,0220,2018:11:17 12:22:21,2018:11:17 12:22:21,YCbCr,108/25,2
1/20,2,Program Normal,500,0220,2018:11:17 12:22:21,2018:11:17 12:22:21,YCbCr,108/25,2
4166667/125000000,2,Unidentified,97,0220,2018:11:17 11:49:56,2018:11:17 11:49:56,YCbCr,-49/10,2
1/40,2,Unidentified,64,0220,2018:11:17 11:50:07,2018:11:17 11:50:07,YCbCr,-133/25,2
1/40,2,Unidentified,64,0220,2018:11:17 11:50:19,2018:11:17 11:50:19,YCbCr,-133/25,2
4166667/125000000,2,Unidentified,366,0220,2018:11:17 11:50:29,2018:11:17 11:50:29,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,366,0220,2018:11:17 11:50:40,2018:11:17 11:50:40,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,366,0220,2018:11:17 11:50:52,2018:11:17 11:50:52,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,366,0220,2018:11:17 11:51:02,2018:11:17 11:51:02,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,155,0220,2018:11:17 11:51:11,2018:11:17 11:51:11,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,155,0220,2018:11:17 11:51:18,2018:11:17 11:51:18,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,155,0220,2018:11:17 11:51:26,2018:11:17 11:51:26,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,389,0220,2018:11:17 11:52:03,2018:11:17 11:52:03,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,389,0220,2018:11:17 11:52:09,2018:11:17 11:52:09,YCbCr,-49/10,2
4166667/62500000,2,Unidentified,563,0220,2018:11:17 11:52:14,2018:11:17 11:52:14,YCbCr,-39/10,2
4166667/125000000,2,Unidentified,197,0220,2018:11:17 11:52:21,2018:11:17 11:52:21,YCbCr,-49/10,2
14583333/250000000,2,Unidentified,389,0220,2018:11:17 11:52:25,2018:11:17 11:52:25,YCbCr,-409/100,2
1/20,2,Unidentified,403,0220,2018:11:17 11:52:32,2018:11:17 11:52:32,YCbCr,-108/25,2
4166667/125000000,2,Unidentified,389,0220,2018:11:17 11:52:38,2018:11:17 11:52:38,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,234,0220,2018:11:17 11:52:44,2018:11:17 11:52:44,YCbCr,-49/10,2
14583333/250000000,2,Unidentified,378,0220,2018:11:17 11:52:53,2018:11:17 11:52:53,YCbCr,-409/100,2
4166667/125000000,2,Unidentified,355,0220,2018:11:17 11:53:01,2018:11:17 11:53:01,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,80,0220,2018:11:17 11:53:14,2018:11:17 11:53:14,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,67,0220,2018:11:17 11:53:24,2018:11:17 11:53:24,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,97,0220,2018:11:17 11:53:31,2018:11:17 11:53:31,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,180,0220,2018:11:17 11:53:45,2018:11:17 11:53:45,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,180,0220,2018:11:17 11:53:53,2018:11:17 11:53:53,YCbCr,-49/10,2
1/40,2,Unidentified,64,0220,2018:11:17 11:53:59,2018:11:17 11:53:59,YCbCr,-133/25,2
